Date, AirTemperature
2015-04-24,57.30874983
2015-04-25,58.33249998
2015-04-26,60.38749981
2015-04-27,68.13125038
2015-04-28,60.60125009
2015-04-29,61.65500045
2015-04-30,69.38749981
2015-05-01,65.53625027
2015-05-02,59.51750016
2015-05-03,56.2549998
2015-05-04,56.67499987
2015-05-05,58.33999976
2015-05-06,58.9999996
2015-05-07,59.34124978
2015-05-08,57.68749992
2015-05-09,57.70249987
2015-05-10,56.57750018
2015-05-11,57.34249989
2015-05-12,55.60250028
2015-05-13,56.68249965
2015-05-14,57.63124983
2015-05-15,56.01875035
2015-05-16,57.20375037
2015-05-17,56.10499994
2015-05-18,57.46250017
2015-05-19,57.95749966
2015-05-20,57.66125027
2015-05-21,60.10999974
2015-05-22,58.6587499
2015-05-23,60.61250019
2015-05-24,59.21375036
2015-05-25,57.62374949
2015-05-26,59.10875003
2015-05-27,60.28250027
2015-05-28,60.79249994
2015-05-29,59.82875013
2015-05-30,60.0425001
2015-05-31,59.51750008
2015-06-01,61.51250029
2015-06-02,64.1215089
2015-06-03,59.31064563
2015-06-04,63.13249977
2015-06-05,63.49250031
2015-06-06,64.0250001
2015-06-07,68.84749961
2015-06-08,78.19249988
2015-06-09,70.44500017
2015-06-10,66.75125027
2015-06-11,71.36374974
2015-06-12,70.59124986
2015-06-13,65.2662499
2015-06-14,61.99624991
2015-06-15,61.37750006
2015-06-16,64.26124994
2015-06-17,65.74624976
2015-06-18,64.12624995
2015-06-19,64.90250007
2015-06-20,65.83249998
2015-06-21,63.05749981
2015-06-22,62.22500038
2015-06-23,66.76624974
2015-06-24,67.28374998
2015-06-25,71.76874979
2015-06-26,71.63375012
2015-06-27,66.62374997
2015-06-28,70.88375028
2015-06-29,70.29124975
2015-06-30,75.64625001
2015-07-01,74.57000001
2015-07-02,70.40375026
2015-07-03,72.06499998
2015-07-04,69.7212503
2015-07-05,68.00749985
2015-07-06,69.85249996
2015-07-07,67.98981152
2015-07-08,62.90098353
2015-07-09,61.94000014
2015-07-10,64.86500017
2015-07-11,67.64375003
2015-07-12,68.59999951
2015-07-13,70.13374996
2015-07-14,67.54624995
2015-07-15,69.68000007
2015-07-16,68.81374995
2015-07-17,69.17749993
2015-07-18,68.20250018
2015-07-19,75.9312501
2015-07-20,77.10874971
2015-07-21,67.90624992
2015-07-22,64.88000043
2015-07-23,65.09962262
2015-07-24,63.22852438
2015-07-25,64.16375009
2015-07-26,66.74374962
2015-07-27,71.95999996
2015-07-28,75.10249996
2015-07-29,73.51249997
2015-07-30,70.69250011
2015-07-31,67.76750016
2015-08-01,69.67250005
2015-08-02,69.73250016
2015-08-03,67.89500006
2015-08-04,64.39624993
2015-08-05,69.24875021
2015-08-06,68.94875002
2015-08-07,69.15500013
2015-08-08,65.28875017
2015-08-09,68.49124964
2015-08-10,68.47999986
2015-08-11,68.19124993
2015-08-12,68.33375049
2015-08-13,68.92999983
2015-08-14,69.58625046
2015-08-15,74.87374989
2015-08-16,79.34375024
